Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
1,Miami Dolphins,16,265,4435,944,4.7,36,7,257,252,504,2924,17,29,5.3,148,395,1511,6,3.8,75,97,875,34,26.2,17.6
2,New York Jets,16,266,4699,980,4.8,30,9,263,285,544,3040,16,21,5.2,150,400,1659,11,4.1,87,109,967,26,25.8,15.8
3,Dallas Cowboys,16,275,5164,988,5.2,26,12,276,290,553,3545,21,14,6.0,162,401,1619,10,4.0,84,120,917,30,25.9,13.8
4,Atlanta Falcons,16,289,4734,950,5.0,44,25,267,311,551,3531,22,19,6.0,172,361,1203,7,3.3,65,118,858,30,27.7,25.8
5,Tampa Bay Buccaneers,16,295,4345,925,4.7,26,14,244,274,473,2762,15,12,5.4,148,415,1583,12,3.8,75,88,669,21,28.1,11.4
6,Minnesota Vikings,16,296,5066,997,5.1,34,15,300,320,555,3452,17,19,5.8,171,404,1614,12,4.0,102,132,1167,27,26.7,18.0
7,Pittsburgh Steelers,16,303,4963,1002,5.0,29,13,266,268,482,3321,17,16,6.3,155,479,1642,8,3.4,88,106,854,23,27.7,15.0
8,New York Giants,16,309,5171,1051,4.9,26,7,286,282,521,3167,17,19,5.5,163,476,2004,13,4.2,103,124,967,20,25.8,13.5
9,Denver Broncos,16,309,4935,999,4.9,30,11,283,345,596,3648,28,19,5.7,183,356,1287,8,3.6,80,113,865,20,23.9,16.9
10,Seattle Seahawks,16,310,5689,1137,5.0,42,18,337,343,597,3690,18,24,5.7,197,487,1999,13,4.1,111,130,1157,29,27.6,19.6
11,Green Bay Packers,16,319,4507,980,4.6,23,10,246,296,540,3065,23,13,5.2,166,390,1442,7,3.7,67,94,828,13,29.9,13.2
12,Tennessee Oilers,16,320,5121,955,5.4,19,7,279,319,511,3511,24,12,6.5,170,414,1610,9,3.9,81,93,704,28,33.1,8.0
13,San Francisco 49ers,16,328,5343,1012,5.3,33,12,297,294,566,3733,25,21,6.1,178,395,1610,13,4.1,91,101,800,28,30.0,16.4
14,New England Patriots,16,329,5182,1053,4.9,31,7,305,336,570,3635,26,24,6.0,208,447,1547,8,3.5,76,104,787,21,33.3,15.2
15,Buffalo Bills,16,333,4691,950,4.9,31,13,283,294,532,3198,27,18,5.6,168,375,1493,11,4.0,79,104,836,36,30.3,14.6
16,Baltimore Ravens,16,335,5297,1050,5.0,23,6,298,316,539,3592,20,17,6.2,180,472,1705,12,3.6,90,122,1013,28,31.4,11.6
17,Jacksonville Jaguars,16,338,5559,1057,5.3,30,17,309,325,577,3559,23,13,5.9,178,450,2000,9,4.4,108,109,953,23,32.9,16.0
18,San Diego Chargers,16,342,4208,991,4.2,27,7,256,271,530,3068,21,20,5.4,149,422,1140,12,2.7,72,120,1005,35,27.5,12.0
19,Philadelphia Eagles,16,344,5136,1019,5.0,17,8,286,249,449,2720,18,9,5.5,133,528,2416,18,4.6,125,113,904,28,30.7,7.8
20,Oakland Raiders,16,356,4550,1020,4.5,35,14,273,291,497,2876,22,21,5.3,150,482,1674,8,3.5,95,115,921,28,26.9,14.5
21,New Orleans Saints,16,359,5668,1053,5.4,32,11,326,328,539,3968,24,21,6.8,208,467,1700,13,3.6,86,132,1164,32,32.6,16.6
22,Kansas City Chiefs,16,363,4854,1010,4.8,33,20,321,259,479,2985,17,13,5.8,146,491,1869,22,3.8,119,138,1292,56,30.1,14.5
23,Chicago Bears,16,368,5103,963,5.3,28,14,300,292,456,3228,27,14,6.7,155,479,1875,12,3.9,121,102,852,24,35.5,13.1
24,Detroit Lions,16,378,5117,1004,5.1,21,9,308,284,474,3015,23,12,5.8,167,487,2102,15,4.3,113,98,791,28,33.2,10.5
25,St. Louis Rams,16,378,4880,1004,4.9,23,7,282,256,475,2831,28,16,5.4,161,479,2049,11,4.3,92,112,915,29,29.0,11.7
26,Arizona Cardinals,16,378,5265,1049,5.0,39,19,321,299,518,3276,21,20,5.9,177,492,1989,18,4.0,117,114,954,27,32.7,17.5
27,Carolina Panthers,16,413,5842,1029,5.7,33,14,315,298,501,3709,30,19,6.9,197,491,2133,14,4.3,95,110,892,23,39.9,15.5
28,Washington Redskins,16,421,5354,1057,5.1,21,8,303,281,493,2918,21,13,5.5,152,531,2436,24,4.6,127,95,824,24,37.2,8.8
29,Indianapolis Colts,16,444,5836,1043,5.6,19,11,341,275,461,3266,27,8,6.5,181,544,2570,20,4.7,131,108,917,29,39.7,10.3
30,Cincinnati Bengals,16,452,5763,992,5.8,20,7,310,233,406,3151,23,13,7.3,152,558,2612,23,4.7,142,127,1012,16,39.4,10.6
,Avg Team,,340.5,5082.6,1008.8,5.0,28.7,11.7,291.3,292.2,516.3,3279.5,21.9,17.0,5.9,167.5,452.3,1803.1,12.6,4.0,96.6,,,27.2,,
,League Total,,10215,152477,30264,5.0,861,352,8738,8766,15489,98384,658,509,5.9,5025,13568,54093,379,4.0,2897,3348,27660,816,30.6,14.3
,Avg Tm/G,,21.3,317.7,63.1,5.0,1.8,0.7,18.2,18.3,32.3,205.0,1.4,1.1,5.9,10.5,28.3,112.7,0.8,4.0,6.0,,,1.7,,
